,X,Name,Team,Number,Position,Age,Height,Weight,College,Salary,Height_feet,Height_in,Height_inches
1,0,Avery Bradley,Boston Celtics,0,PG,25,06-Feb,180,Texas,7730337,6,2,74
2,1,Jae Crowder,Boston Celtics,99,SF,25,06-Jun,235,Marquette,6796117,6,6,78
3,2,John Holland,Boston Celtics,30,SG,27,06-May,205,Boston University,NA,6,5,77
4,3,R.J. Hunter,Boston Celtics,28,SG,22,06-May,185,Georgia State,1148640,6,5,77
5,4,Jonas Jerebko,Boston Celtics,8,PF,29,06-Oct,231,,5.00E+06,6,10,82
6,5,Amir Johnson,Boston Celtics,90,PF,29,06-Sep,240,,1.20E+07,6,9,81
7,7,Kelly Olynyk,Boston Celtics,41,C,25,7-0,238,Gonzaga,2165160,7,0,84
8,9,Marcus Smart,Boston Celtics,36,PG,22,06-Apr,220,Oklahoma State,3431040,6,4,76
9,10,Jared Sullinger,Boston Celtics,7,C,24,06-Sep,260,Ohio State,2569260,6,9,81
10,11,Isaiah Thomas,Boston Celtics,4,PG,27,05-Sep,185,Washington,6912869,5,9,69
11,12,Evan Turner,Boston Celtics,11,SG,27,06-Jul,220,Ohio State,3425510,6,7,79
12,14,Tyler Zeller,Boston Celtics,44,C,26,7-0,253,North Carolina,2616975,7,0,84
13,15,Bojan Bogdanovic,Brooklyn Nets,44,SG,27,06-Aug,216,,3425510,6,8,80
14,16,Markel Brown,Brooklyn Nets,22,SG,24,06-Mar,190,Oklahoma State,845059,6,3,75
15,17,Wayne Ellington,Brooklyn Nets,21,SG,28,06-Apr,200,North Carolina,1500000,6,4,76
16,18,Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,06-Jul,220,Arizona,1335480,6,7,79
17,19,Jarrett Jack,Brooklyn Nets,2,PG,32,06-Mar,200,Georgia Tech,6300000,6,3,75
18,20,Sergey Karasev,Brooklyn Nets,10,SG,22,06-Jul,208,,1599840,6,7,79
19,21,Sean Kilpatrick,Brooklyn Nets,6,SG,26,06-Apr,219,Cincinnati,134215,6,4,76
20,24,Chris McCullough,Brooklyn Nets,1,PF,21,06-Nov,200,Syracuse,1140240,6,11,83
21,26,Thomas Robinson,Brooklyn Nets,41,PF,25,06-Oct,237,Kansas,981348,6,10,82
22,27,Henry Sims,Brooklyn Nets,14,C,26,06-Oct,248,Georgetown,947276,6,10,82
23,28,Donald Sloan,Brooklyn Nets,15,PG,28,06-Mar,205,Texas A&M,947276,6,3,75
24,29,Thaddeus Young,Brooklyn Nets,30,PF,27,06-Aug,221,Georgia Tech,11235955,6,8,80
25,30,Arron Afflalo,New York Knicks,4,SG,30,06-May,210,UCLA,8.00E+06,6,5,77
26,32,Thanasis Antetokounmpo,New York Knicks,43,SF,23,06-Jul,205,,30888,6,7,79
27,33,Carmelo Anthony,New York Knicks,7,SF,32,06-Aug,240,Syracuse,22875000,6,8,80
28,34,Jose Calderon,New York Knicks,3,PG,34,06-Mar,200,,7402812,6,3,75
29,37,Jerian Grant,New York Knicks,13,PG,23,06-Apr,195,Notre Dame,1572360,6,4,76
30,38,Robin Lopez,New York Knicks,8,C,28,7-0,255,Stanford,12650000,7,0,84
31,39,Kyle O'Quinn,New York Knicks,9,PF,26,06-Oct,250,Norfolk State,3750000,6,10,82
32,40,Kristaps Porzingis,New York Knicks,6,PF,20,07-Mar,240,,4131720,7,3,87
33,41,Kevin Seraphin,New York Knicks,1,C,26,06-Oct,278,,2814000,6,10,82
34,43,Sasha Vujacic,New York Knicks,18,SG,32,06-Jul,195,,947276,6,7,79
35,44,Derrick Williams,New York Knicks,23,PF,25,06-Aug,240,Arizona,4.00E+06,6,8,80
36,45,Tony Wroten,New York Knicks,5,SG,23,06-Jun,205,Washington,167406,6,6,78
37,46,Elton Brand,Philadelphia 76ers,42,PF,37,06-Sep,254,Duke,NA,6,9,81
38,47,Isaiah Canaan,Philadelphia 76ers,0,PG,25,6-0,201,Murray State,947276,6,0,72
39,49,Joel Embiid,Philadelphia 76ers,21,C,22,7-0,250,Kansas,4626960,7,0,84
40,50,Jerami Grant,Philadelphia 76ers,39,SF,22,06-Aug,210,Syracuse,845059,6,8,80
41,51,Richaun Holmes,Philadelphia 76ers,22,PF,22,06-Oct,245,Bowling Green,1074169,6,10,82
42,53,Kendall Marshall,Philadelphia 76ers,5,PG,24,06-Apr,200,North Carolina,2144772,6,4,76
43,54,T.J. McConnell,Philadelphia 76ers,12,PG,24,06-Feb,200,Arizona,525093,6,2,74
44,55,Nerlens Noel,Philadelphia 76ers,4,PF,22,06-Nov,228,Kentucky,3457800,6,11,83
45,56,Jahlil Okafor,Philadelphia 76ers,8,C,20,06-Nov,275,Duke,4582680,6,11,83
